"Plot Title: CO2-spot"
"#","Date Time, GMT-05:00","ppm, units (LGR S/N: 20253808)","Started (LGR S/N: 20253808)","Button Up (LGR S/N: 20253808)","Host Connected (LGR S/N: 20253808)","Button Down (LGR S/N: 20253808)","Stopped (LGR S/N: 20253808)","End Of File (LGR S/N: 20253808)"
1,04/27/23 10:27:44 AM,0.32,Logged,,,,,
2,04/27/23 10:27:45 AM,,,Logged,,,,
3,04/27/23 10:27:54 AM,0.32,,,,,,
4,04/27/23 10:28:04 AM,0.32,,,,,,
5,04/27/23 10:28:14 AM,0.32,,,,,,
6,04/27/23 10:28:24 AM,0.32,,,,,,
7,04/27/23 10:28:34 AM,0.32,,,,,,
8,04/27/23 10:28:44 AM,0.32,,,,,,
9,04/27/23 10:28:54 AM,0.32,,,,,,
10,04/27/23 10:29:04 AM,0.32,,,,,,
11,04/27/23 10:29:14 AM,0.32,,,,,,
12,04/27/23 10:29:24 AM,0.32,,,,,,
13,04/27/23 10:29:34 AM,0.32,,,,,,
14,04/27/23 10:29:44 AM,0.32,,,,,,
15,04/27/23 10:29:54 AM,0.32,,,,,,
16,04/27/23 10:30:04 AM,0.32,,,,,,
17,04/27/23 10:30:14 AM,0.32,,,,,,
18,04/27/23 10:30:24 AM,0.32,,,,,,
19,04/27/23 10:30:34 AM,201.72,,,,,,
20,04/27/23 10:30:44 AM,215.76,,,,,,
21,04/27/23 10:30:54 AM,223.68,,,,,,
22,04/27/23 10:31:04 AM,283.80,,,,,,
23,04/27/23 10:31:14 AM,267.64,,,,,,
24,04/27/23 10:31:24 AM,257.88,,,,,,
25,04/27/23 10:31:34 AM,309.44,,,,,,
26,04/27/23 10:31:44 AM,287.16,,,,,,
27,04/27/23 10:31:54 AM,271.60,,,,,,
28,04/27/23 10:32:04 AM,314.96,,,,,,
29,04/27/23 10:32:14 AM,292.04,,,,,,
30,04/27/23 10:32:24 AM,0.32,,,,,,
31,04/27/23 10:32:34 AM,47.60,,,,,,
32,04/27/23 10:32:44 AM,606.68,,,,,,
33,04/27/23 10:32:54 AM,601.80,,,,,,
34,04/27/23 10:33:04 AM,596.32,,,,,,
35,04/27/23 10:33:14 AM,596.92,,,,,,
36,04/27/23 10:33:24 AM,614.64,,,,,,
37,04/27/23 10:33:34 AM,615.84,,,,,,
38,04/27/23 10:33:44 AM,608.52,,,,,,
39,04/27/23 10:33:54 AM,605.80,,,,,,
40,04/27/23 10:34:04 AM,633.84,,,,,,
41,04/27/23 10:34:14 AM,647.00,,,,,,
42,04/27/23 10:34:24 AM,629.60,,,,,,
43,04/27/23 10:34:34 AM,675.96,,,,,,
44,04/27/23 10:34:44 AM,771.48,,,,,,
45,04/27/23 10:34:54 AM,789.20,,,,,,
46,04/27/23 10:35:04 AM,757.76,,,,,,
47,04/27/23 10:35:14 AM,715.96,,,,,,
48,04/27/23 10:35:24 AM,711.36,,,,,,
49,04/27/23 10:35:34 AM,716.88,,,,,,
50,04/27/23 10:35:44 AM,716.24,,,,,,
51,04/27/23 10:35:54 AM,699.16,,,,,,
52,04/27/23 10:36:04 AM,696.12,,,,,,
53,04/27/23 10:36:14 AM,700.68,,,,,,
54,04/27/23 10:36:24 AM,698.24,,,,,,
55,04/27/23 10:36:34 AM,647.00,,,,,,
56,04/27/23 10:36:44 AM,605.16,,,,,,
57,04/27/23 10:36:54 AM,590.84,,,,,,
58,04/27/23 10:37:04 AM,585.96,,,,,,
59,04/27/23 10:37:14 AM,574.36,,,,,,
60,04/27/23 10:37:24 AM,556.96,,,,,,
61,04/27/23 10:37:34 AM,555.12,,,,,,
62,04/27/23 10:37:44 AM,570.40,,,,,,
63,04/27/23 10:37:54 AM,587.48,,,,,,
64,04/27/23 10:38:04 AM,594.80,,,,,,
65,04/27/23 10:38:14 AM,614.92,,,,,,
66,04/27/23 10:38:24 AM,652.80,,,,,,
67,04/27/23 10:38:34 AM,687.28,,,,,,
68,04/27/23 10:38:44 AM,703.44,,,,,,
69,04/27/23 10:38:54 AM,717.16,,,,,,
70,04/27/23 10:39:04 AM,737.64,,,,,,
71,04/27/23 10:39:14 AM,774.56,,,,,,
72,04/27/23 10:39:24 AM,798.64,,,,,,
73,04/27/23 10:39:34 AM,803.84,,,,,,
74,04/27/23 10:39:44 AM,815.12,,,,,,
75,04/27/23 10:39:54 AM,837.72,,,,,,
76,04/27/23 10:40:04 AM,849.00,,,,,,
77,04/27/23 10:40:14 AM,852.96,,,,,,
78,04/27/23 10:40:24 AM,857.56,,,,,,
79,04/27/23 10:40:34 AM,870.36,,,,,,
80,04/27/23 10:40:44 AM,887.16,,,,,,
81,04/27/23 10:40:54 AM,899.08,,,,,,
82,04/27/23 10:41:04 AM,902.40,,,,,,
83,04/27/23 10:41:14 AM,937.20,,,,,,
84,04/27/23 10:41:24 AM,971.68,,,,,,
85,04/27/23 10:41:34 AM,1000.40,,,,,,
86,04/27/23 10:41:44 AM,1011.08,,,,,,
87,04/27/23 10:41:54 AM,1018.40,,,,,,
88,04/27/23 10:42:04 AM,1034.88,,,,,,
89,04/27/23 10:42:14 AM,1070.28,,,,,,
90,04/27/23 10:42:24 AM,1087.96,,,,,,
91,04/27/23 10:42:34 AM,1091.32,,,,,,
92,04/27/23 10:42:44 AM,1109.64,,,,,,
93,04/27/23 10:42:54 AM,1136.48,,,,,,
94,04/27/23 10:43:04 AM,1161.52,,,,,,
95,04/27/23 10:43:14 AM,1168.84,,,,,,
96,04/27/23 10:43:24 AM,1169.76,,,,,,
97,04/27/23 10:43:34 AM,1189.00,,,,,,
98,04/27/23 10:43:44 AM,1212.16,,,,,,
99,04/27/23 10:43:54 AM,1217.04,,,,,,
100,04/27/23 10:44:04 AM,1201.48,,,,,,
101,04/27/23 10:44:14 AM,1211.56,,,,,,
102,04/27/23 10:44:24 AM,1228.96,,,,,,
103,04/27/23 10:44:34 AM,1242.40,,,,,,
104,04/27/23 10:44:44 AM,1238.12,,,,,,
105,04/27/23 10:44:54 AM,1229.88,,,,,,
106,04/27/23 10:45:04 AM,1250.32,,,,,,
107,04/27/23 10:45:14 AM,1272.60,,,,,,
108,04/27/23 10:45:24 AM,1276.56,,,,,,
109,04/27/23 10:45:34 AM,1261.32,,,,,,
110,04/27/23 10:45:44 AM,1262.52,,,,,,
111,04/27/23 10:45:54 AM,1279.92,,,,,,
112,04/27/23 10:46:04 AM,1282.36,,,,,,
113,04/27/23 10:46:14 AM,1277.48,,,,,,
114,04/27/23 10:46:24 AM,1270.48,,,,,,
115,04/27/23 10:46:34 AM,1281.16,,,,,,
116,04/27/23 10:46:44 AM,1293.04,,,,,,
117,04/27/23 10:46:54 AM,1286.96,,,,,,
