"Plot Title: Savoy-Discharge"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559467, SEN S/N: 10559467)","Temp, °C (LGR S/N: 10559467, SEN S/N: 10559467)","Coupler Detached (LGR S/N: 10559467)","Coupler Attached (LGR S/N: 10559467)","End Of File (LGR S/N: 10559467)"
1,05/11/23 01:32:30 PM,229.17,21.62,,,
2,05/11/23 01:32:31 PM,229.24,21.64,,,
3,05/11/23 01:32:32 PM,229.17,21.64,,,
4,05/11/23 01:32:33 PM,229.17,21.65,,,
5,05/11/23 01:32:34 PM,229.24,21.65,,,
6,05/11/23 01:32:35 PM,229.17,21.65,,,
7,05/11/23 01:32:36 PM,229.09,21.65,,,
8,05/11/23 01:32:37 PM,228.85,21.71,,,
9,05/11/23 01:32:38 PM,228.92,21.73,,,
10,05/11/23 01:32:39 PM,228.85,21.69,,,
11,05/11/23 01:32:40 PM,228.70,21.69,,,
12,05/11/23 01:32:41 PM,228.70,21.68,,,
13,05/11/23 01:32:42 PM,228.63,21.68,,,
14,05/11/23 01:32:43 PM,228.55,21.69,,,
15,05/11/23 01:32:44 PM,228.55,21.69,,,
16,05/11/23 01:32:45 PM,228.47,21.69,,,
17,05/11/23 01:32:46 PM,228.40,21.69,,,
18,05/11/23 01:32:47 PM,228.40,21.69,,,
19,05/11/23 01:32:48 PM,228.32,21.70,,,
20,05/11/23 01:32:49 PM,227.79,21.70,Logged,,
21,05/11/23 01:32:50 PM,228.32,21.71,,,
22,05/11/23 01:32:51 PM,228.77,21.71,,,
23,05/11/23 01:32:52 PM,228.47,21.71,,,
24,05/11/23 01:32:53 PM,228.39,21.73,,,
25,05/11/23 01:32:54 PM,228.39,21.74,,,
26,05/11/23 01:32:55 PM,228.31,21.75,,,
27,05/11/23 01:32:56 PM,228.31,21.75,,,
28,05/11/23 01:32:57 PM,227.93,21.73,,,
29,05/11/23 01:32:58 PM,227.57,21.69,,,
30,05/11/23 01:32:59 PM,228.85,21.70,,,
