Plot Title: Savoy-Discharge,,,
#,"Date Time, GMT+00:00","Low Range, μS/cm (LGR S/N: 10559467, SEN S/N: 10559467)","Temp, °C (LGR S/N: 10559467, SEN S/N: 10559467)"
1,05/12/23 08:25:56 PM,3.39,20.94
2,05/12/23 08:25:57 PM,3.39,20.96
3,05/12/23 08:25:58 PM,3.39,20.96
4,05/12/23 08:25:59 PM,3.32,20.96
5,05/12/23 08:26:00 PM,3.32,20.96
6,05/12/23 08:26:01 PM,3.39,20.96
7,05/12/23 08:26:02 PM,3.46,20.96
8,05/12/23 08:26:03 PM,3.39,20.96
9,05/12/23 08:26:04 PM,3.46,20.94
10,05/12/23 08:26:05 PM,3.46,21.01
11,05/12/23 08:26:06 PM,3.46,21.01
12,05/12/23 08:26:07 PM,3.46,21
13,05/12/23 08:26:08 PM,3.54,20.98
14,05/12/23 08:26:09 PM,3.54,20.96
15,05/12/23 08:26:10 PM,3.47,20.91
16,05/12/23 08:26:11 PM,3.54,20.87
17,05/12/23 08:26:12 PM,3.54,20.88
18,05/12/23 08:26:13 PM,12.65,20.94
19,05/12/23 08:26:14 PM,11.85,21.78
20,05/12/23 08:26:15 PM,12.21,21.74
21,05/12/23 08:26:16 PM,11.42,21.75
22,05/12/23 08:26:17 PM,10.27,21.84
23,05/12/23 08:26:18 PM,9.41,21.92
24,05/12/23 08:26:19 PM,8.91,21.96
25,05/12/23 08:26:20 PM,8.55,21.98
26,05/12/23 08:26:21 PM,8.48,22
27,05/12/23 08:26:22 PM,8.48,22.02
28,05/12/23 08:26:23 PM,8.41,22.03
29,05/12/23 08:26:24 PM,8.34,22.05
30,05/12/23 08:26:25 PM,8.26,22.06
31,05/12/23 08:26:26 PM,8.12,22.07
32,05/12/23 08:26:27 PM,7.9,22.07
33,05/12/23 08:26:28 PM,7.83,22.07
34,05/12/23 08:26:29 PM,7.62,22.09
35,05/12/23 08:26:30 PM,7.55,22.09
36,05/12/23 08:26:31 PM,7.4,22.1
37,05/12/23 08:26:32 PM,7.26,22.1
38,05/12/23 08:26:33 PM,7.19,22.1
39,05/12/23 08:26:34 PM,7.19,22.1
40,05/12/23 08:26:35 PM,7.12,22.11
41,05/12/23 08:26:36 PM,5.47,22.21
42,05/12/23 08:26:37 PM,4.89,22.41
43,05/12/23 08:26:38 PM,4.89,22.39
44,05/12/23 08:26:39 PM,4.89,22.38
45,05/12/23 08:26:40 PM,4.89,22.37
46,05/12/23 08:26:41 PM,5.04,22.37
47,05/12/23 08:26:42 PM,4.96,22.36
48,05/12/23 08:26:43 PM,5.11,22.36
49,05/12/23 08:26:44 PM,5.04,22.36
50,05/12/23 08:26:45 PM,5.04,22.34
51,05/12/23 08:26:46 PM,5.04,22.33
52,05/12/23 08:26:47 PM,5.04,22.33
53,05/12/23 08:26:48 PM,5.11,22.32
54,05/12/23 08:26:49 PM,5.18,22.32
55,05/12/23 08:26:50 PM,5.18,22.3
56,05/12/23 08:26:51 PM,5.18,22.3
57,05/12/23 08:26:52 PM,5.18,22.3
58,05/12/23 08:26:53 PM,5.25,22.29
59,05/12/23 08:26:54 PM,5.32,22.28
60,05/12/23 08:26:55 PM,5.32,22.28
61,05/12/23 08:26:56 PM,5.32,22.28
62,05/12/23 08:26:57 PM,5.32,22.27
63,05/12/23 08:26:58 PM,5.32,22.27
64,05/12/23 08:26:59 PM,5.32,22.25
65,05/12/23 08:27:00 PM,5.39,22.25
66,05/12/23 08:27:01 PM,2.39,22.24
67,05/12/23 08:27:02 PM,2.39,22.15
68,05/12/23 08:27:03 PM,2.46,22.12
69,05/12/23 08:27:04 PM,2.46,22.1
70,05/12/23 08:27:05 PM,2.39,22.02
71,05/12/23 08:27:06 PM,2.46,22.01
72,05/12/23 08:27:07 PM,2.46,21.94
73,05/12/23 08:27:08 PM,185.5,21.98
74,05/12/23 08:27:09 PM,400.26,22
75,05/12/23 08:27:10 PM,487.14,22
76,05/12/23 08:27:11 PM,568.92,22
77,05/12/23 08:27:12 PM,641.84,22
78,05/12/23 08:27:13 PM,717.34,22.01
79,05/12/23 08:27:14 PM,738.03,22.01
80,05/12/23 08:27:15 PM,753.31,22.01
81,05/12/23 08:27:16 PM,754.66,22.01
82,05/12/23 08:27:17 PM,758.56,22.01
83,05/12/23 08:27:18 PM,759.19,22.01
84,05/12/23 08:27:19 PM,759.27,22.01
85,05/12/23 08:27:20 PM,759.43,22.01
86,05/12/23 08:27:21 PM,759.6,22
87,05/12/23 08:27:22 PM,759.68,22
88,05/12/23 08:27:23 PM,759.68,22
89,05/12/23 08:27:24 PM,761.75,22
90,05/12/23 08:27:25 PM,762.93,22.01
91,05/12/23 08:27:26 PM,763.17,22.01
92,05/12/23 08:27:27 PM,762.93,22.01
93,05/12/23 08:27:28 PM,763.17,22.01
94,05/12/23 08:27:29 PM,763.01,22.01
