Plot Title: Savoy-SinkingStream,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559467, SEN S/N: 10559467)","Temp, °F (LGR S/N: 10559467, SEN S/N: 10559467)"
1,05/02/23 12:59:57 PM,4.1,91.74
2,05/02/23 01:00:18 PM,,
3,05/02/23 01:04:57 PM,253.4,65.01
4,05/02/23 01:09:57 PM,240.2,61.25
5,05/02/23 01:14:57 PM,239.3,61.12
6,05/02/23 01:19:57 PM,240.1,61.27
7,05/02/23 01:24:57 PM,240.5,61.5
8,05/02/23 01:29:57 PM,240.9,61.65
9,05/02/23 01:34:57 PM,241.5,61.86
10,05/02/23 01:39:57 PM,242.3,62.06
11,05/02/23 01:44:57 PM,242.6,62.17
12,05/02/23 01:49:57 PM,243.2,62.28
13,05/02/23 01:54:57 PM,243.6,62.35
14,05/02/23 01:59:57 PM,244.1,62.4
15,05/02/23 02:04:57 PM,244.4,62.51
16,05/02/23 02:09:57 PM,244.3,62.55
17,05/02/23 02:14:57 PM,244.9,62.65
18,05/02/23 02:19:57 PM,245,62.71
19,05/02/23 02:24:57 PM,245.2,62.73
20,05/02/23 02:29:57 PM,245.4,62.76
21,05/02/23 02:34:57 PM,245.5,62.8
22,05/02/23 02:39:57 PM,245.6,62.82
23,05/02/23 02:44:57 PM,245.8,62.87
24,05/02/23 02:49:57 PM,246,62.96
25,05/02/23 02:54:57 PM,246.5,63.03
26,05/02/23 02:59:57 PM,246.6,63.03
27,05/02/23 03:04:57 PM,246.9,63.09
28,05/02/23 03:09:57 PM,246.9,63.12
29,05/02/23 03:14:57 PM,247.1,63.12
30,05/02/23 03:19:57 PM,247.1,63.14
31,05/02/23 03:24:57 PM,247,63.12
32,05/02/23 03:29:57 PM,247.2,63.19
33,05/02/23 03:34:57 PM,247.2,63.16
34,05/02/23 03:39:57 PM,247.2,63.16
35,05/02/23 03:44:57 PM,247.2,63.16
36,05/02/23 03:49:57 PM,247.5,63.19
37,05/02/23 03:54:57 PM,247.5,63.19
38,05/02/23 03:59:57 PM,247.5,63.19
39,05/02/23 04:04:57 PM,247.2,63.07
40,05/02/23 04:09:57 PM,247.2,63.03
41,05/02/23 04:14:57 PM,247.1,63
