Plot Title: Savoy-Discharge,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559467, SEN S/N: 10559467)","Temp, °F (LGR S/N: 10559467, SEN S/N: 10559467)"
1,05/15/23 02:52:42 PM,3.5,73.92
2,05/15/23 02:52:43 PM,3.5,73.98
3,05/15/23 02:52:44 PM,3.6,73.98
4,05/15/23 02:52:45 PM,3.7,73.99
5,05/15/23 02:52:46 PM,3.7,73.99
6,05/15/23 02:52:47 PM,3.9,73.99
7,05/15/23 02:52:48 PM,3.7,73.94
8,05/15/23 02:52:49 PM,3.7,73.99
9,05/15/23 02:52:50 PM,3.8,74.01
10,05/15/23 02:52:51 PM,3.9,74.01
11,05/15/23 02:52:52 PM,3.8,73.98
12,05/15/23 02:52:53 PM,3.9,73.98
13,05/15/23 02:52:54 PM,3.5,73.94
14,05/15/23 02:52:55 PM,3.7,74.01
15,05/15/23 02:52:56 PM,4,74.07
16,05/15/23 02:52:57 PM,4.1,74.14
17,05/15/23 02:52:58 PM,4.2,74.1
18,05/15/23 02:52:59 PM,4.3,74.16
19,05/15/23 02:53:00 PM,4.3,74.08
20,05/15/23 02:53:01 PM,4,74.01
21,05/15/23 02:53:02 PM,3.7,73.99
22,05/15/23 02:53:03 PM,3.6,74.01
23,05/15/23 02:53:04 PM,3.5,74.01
24,05/15/23 02:53:05 PM,3.7,74.05
25,05/15/23 02:53:06 PM,3.5,73.99
26,05/15/23 02:53:07 PM,3.5,74.05
27,05/15/23 02:53:08 PM,3.5,74.07
28,05/15/23 02:53:09 PM,3.5,74.01
29,05/15/23 02:53:10 PM,3.4,74.01
30,05/15/23 02:53:11 PM,3.4,74.05
31,05/15/23 02:53:12 PM,3.4,74.07
32,05/15/23 02:53:13 PM,3.4,74.01
33,05/15/23 02:53:14 PM,3.5,74.07
34,05/15/23 02:53:15 PM,3.7,74.1
35,05/15/23 02:53:16 PM,3.7,74.14
36,05/15/23 02:53:17 PM,3.7,74.08
37,05/15/23 02:53:18 PM,3.2,74.05
38,05/15/23 02:53:19 PM,3.1,74.05
39,05/15/23 02:53:20 PM,3.2,74.07
40,05/15/23 02:53:21 PM,3.1,74.05
41,05/15/23 02:53:22 PM,3,74.07
42,05/15/23 02:53:23 PM,3,74.07
43,05/15/23 02:53:24 PM,2.8,74.05
44,05/15/23 02:53:25 PM,2.7,74.05
45,05/15/23 02:53:26 PM,2.9,74.1
46,05/15/23 02:53:27 PM,2.5,73.99
47,05/15/23 02:53:28 PM,2.5,73.94
48,05/15/23 02:53:29 PM,2.5,73.94
49,05/15/23 02:53:30 PM,2.2,73.89
50,05/15/23 02:53:31 PM,2.2,73.89
51,05/15/23 02:53:32 PM,2.2,73.89
52,05/15/23 02:53:33 PM,2.4,73.92
53,05/15/23 02:53:34 PM,2.5,73.98
54,05/15/23 02:53:35 PM,2.7,74.01
55,05/15/23 02:53:36 PM,2.7,73.98
56,05/15/23 02:53:37 PM,2.4,73.98
57,05/15/23 02:53:38 PM,2.4,73.98
58,05/15/23 02:53:39 PM,2.6,73.99
59,05/15/23 02:53:40 PM,2.8,73.98
60,05/15/23 02:53:41 PM,2.7,73.94
61,05/15/23 02:53:42 PM,2.8,73.94
62,05/15/23 02:53:43 PM,2.9,73.98
63,05/15/23 02:53:44 PM,2.9,74.01
64,05/15/23 02:53:45 PM,3,74.01
65,05/15/23 02:53:46 PM,2.9,74.05
66,05/15/23 02:53:47 PM,2.9,73.99
67,05/15/23 02:53:48 PM,2.8,74.05
68,05/15/23 02:53:49 PM,2.8,73.99
69,05/15/23 02:53:50 PM,2.8,74.05
70,05/15/23 02:53:51 PM,2.9,74.01
71,05/15/23 02:53:52 PM,2.7,73.99
72,05/15/23 02:53:53 PM,2.5,73.99
73,05/15/23 02:53:54 PM,2.5,73.99
74,05/15/23 02:53:55 PM,2.5,73.99
75,05/15/23 02:53:56 PM,2.7,74.01
76,05/15/23 02:53:57 PM,2.7,74.05
77,05/15/23 02:53:58 PM,2.8,74.07
78,05/15/23 02:53:59 PM,2.7,74.05
79,05/15/23 02:54:00 PM,2.7,74.01
80,05/15/23 02:54:01 PM,2.8,73.99
81,05/15/23 02:54:02 PM,2.8,74.01
82,05/15/23 02:54:03 PM,2.8,74.05
83,05/15/23 02:54:04 PM,2.7,74.05
84,05/15/23 02:54:05 PM,2.7,74.05
85,05/15/23 02:54:06 PM,2.6,74.05
86,05/15/23 02:54:07 PM,3,74.07
87,05/15/23 02:54:08 PM,2.8,73.99
88,05/15/23 02:54:09 PM,2.9,74.07
89,05/15/23 02:54:10 PM,314.6,70.47
90,05/15/23 02:54:11 PM,301.7,70.07
91,05/15/23 02:54:12 PM,291.9,69.58
92,05/15/23 02:54:13 PM,288.5,69.37
93,05/15/23 02:54:14 PM,286.6,69.31
94,05/15/23 02:54:15 PM,286.3,69.49
95,05/15/23 02:54:16 PM,283.5,69.48
96,05/15/23 02:54:17 PM,281,69.48
97,05/15/23 02:54:18 PM,279,69.4
98,05/15/23 02:54:19 PM,278.1,69.28
99,05/15/23 02:54:20 PM,278,69.24
100,05/15/23 02:54:21 PM,277.1,69.19
101,05/15/23 02:54:22 PM,276.3,69.15
102,05/15/23 02:54:23 PM,275.6,69.08
103,05/15/23 02:54:24 PM,274.2,69.01
104,05/15/23 02:54:25 PM,273.8,68.94
105,05/15/23 02:54:26 PM,273.2,68.95
106,05/15/23 02:54:27 PM,272.5,68.92
107,05/15/23 02:54:28 PM,271.5,68.85
108,05/15/23 02:54:29 PM,271.1,68.79
109,05/15/23 02:54:30 PM,270.9,68.77
110,05/15/23 02:54:31 PM,270.1,68.77
111,05/15/23 02:54:32 PM,269.9,68.76
112,05/15/23 02:54:33 PM,269.6,68.7
113,05/15/23 02:54:34 PM,269.3,68.68
114,05/15/23 02:54:35 PM,269.1,68.68
115,05/15/23 02:54:36 PM,268.6,68.63
