"Plot Title: Savoy-Discharge"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559467, SEN S/N: 10559467)","Temp, °C (LGR S/N: 10559467, SEN S/N: 10559467)"
1,05/15/23 04:00:45 PM,81.95,24.14
2,05/15/23 04:00:46 PM,81.95,24.13
3,05/15/23 04:00:47 PM,81.81,24.10
4,05/15/23 04:00:48 PM,81.81,24.07
5,05/15/23 04:00:49 PM,81.74,24.10
6,05/15/23 04:00:50 PM,81.88,24.10
7,05/15/23 04:00:51 PM,81.59,24.09
8,05/15/23 04:00:52 PM,81.52,24.06
9,05/15/23 04:00:53 PM,81.30,24.09
10,05/15/23 04:00:54 PM,81.23,24.06
11,05/15/23 04:00:55 PM,81.37,24.07
12,05/15/23 04:00:56 PM,81.01,24.07
13,05/15/23 04:00:57 PM,81.01,24.04
14,05/15/23 04:00:58 PM,80.94,24.02
15,05/15/23 04:00:59 PM,80.87,24.04
16,05/15/23 04:01:00 PM,80.87,24.01
17,05/15/23 04:01:01 PM,81.01,24.02
18,05/15/23 04:01:02 PM,80.80,24.01
19,05/15/23 04:01:03 PM,80.73,23.97
20,05/15/23 04:01:04 PM,80.94,24.00
21,05/15/23 04:01:05 PM,80.36,24.01
22,05/15/23 04:01:06 PM,80.21,24.04
23,05/15/23 04:01:07 PM,80.72,24.04
24,05/15/23 04:01:08 PM,80.36,24.02
25,05/15/23 04:01:09 PM,80.36,24.04
26,05/15/23 04:01:10 PM,80.43,24.02
27,05/15/23 04:01:11 PM,80.72,24.02
28,05/15/23 04:01:12 PM,80.36,24.02
29,05/15/23 04:01:13 PM,80.28,24.04
30,05/15/23 04:01:14 PM,80.28,24.02
31,05/15/23 04:01:15 PM,80.29,23.96
32,05/15/23 04:01:16 PM,80.15,23.95
33,05/15/23 04:01:17 PM,80.15,23.95
34,05/15/23 04:01:18 PM,79.64,23.93
35,05/15/23 04:01:19 PM,82.55,23.93
36,05/15/23 04:01:20 PM,79.71,23.91
37,05/15/23 04:01:21 PM,79.42,23.92
38,05/15/23 04:01:22 PM,79.35,23.86
39,05/15/23 04:01:23 PM,79.50,23.87
40,05/15/23 04:01:24 PM,79.27,23.90
41,05/15/23 04:01:25 PM,79.35,23.87
42,05/15/23 04:01:26 PM,79.42,23.87
43,05/15/23 04:01:27 PM,78.84,23.83
44,05/15/23 04:01:28 PM,78.84,23.81
45,05/15/23 04:01:29 PM,78.92,23.75
46,05/15/23 04:01:30 PM,77.24,23.83
47,05/15/23 04:01:31 PM,78.77,23.81
48,05/15/23 04:01:32 PM,78.77,23.79
49,05/15/23 04:01:33 PM,78.62,23.82
50,05/15/23 04:01:34 PM,78.84,23.83
51,05/15/23 04:01:35 PM,78.55,23.84
52,05/15/23 04:01:36 PM,78.40,23.86
53,05/15/23 04:01:37 PM,78.11,23.87
54,05/15/23 04:01:38 PM,78.76,23.91
55,05/15/23 04:01:39 PM,78.25,23.95
56,05/15/23 04:01:40 PM,78.39,23.97
57,05/15/23 04:01:41 PM,78.69,23.91
58,05/15/23 04:01:42 PM,78.18,23.90
59,05/15/23 04:01:43 PM,78.26,23.83
60,05/15/23 04:01:44 PM,77.96,23.88
61,05/15/23 04:01:45 PM,78.18,23.93
62,05/15/23 04:01:46 PM,78.69,23.91
63,05/15/23 04:01:47 PM,78.98,23.93
64,05/15/23 04:01:48 PM,78.25,23.91
65,05/15/23 04:01:49 PM,78.32,23.97
66,05/15/23 04:01:50 PM,78.46,24.02
67,05/15/23 04:01:51 PM,78.39,24.01
68,05/15/23 04:01:52 PM,77.73,24.00
69,05/15/23 04:01:53 PM,79.63,23.95
70,05/15/23 04:01:54 PM,79.20,23.92
71,05/15/23 04:01:55 PM,79.34,23.95
72,05/15/23 04:01:56 PM,78.98,23.95
73,05/15/23 04:01:57 PM,78.55,23.88
74,05/15/23 04:01:58 PM,79.64,23.87
75,05/15/23 04:01:59 PM,78.33,23.87
76,05/15/23 04:02:00 PM,77.45,23.88
77,05/15/23 04:02:01 PM,77.53,23.88
78,05/15/23 04:02:02 PM,77.75,23.86
79,05/15/23 04:02:03 PM,77.96,23.87
80,05/15/23 04:02:04 PM,77.67,23.88
81,05/15/23 04:02:05 PM,78.47,23.87
82,05/15/23 04:02:06 PM,78.33,23.90
83,05/15/23 04:02:07 PM,81.53,23.91
84,05/15/23 04:02:08 PM,81.24,23.92
85,05/15/23 04:02:09 PM,81.17,23.88
86,05/15/23 04:02:10 PM,81.76,23.87
87,05/15/23 04:02:11 PM,81.39,23.90
88,05/15/23 04:02:12 PM,80.95,23.90
89,05/15/23 04:02:13 PM,80.66,23.91
90,05/15/23 04:02:14 PM,80.81,23.88
91,05/15/23 04:02:15 PM,80.66,23.90
92,05/15/23 04:02:16 PM,79.64,23.86
93,05/15/23 04:02:17 PM,80.37,23.83
94,05/15/23 04:02:18 PM,81.25,23.83
95,05/15/23 04:02:19 PM,81.17,23.86
96,05/15/23 04:02:20 PM,81.39,23.88
97,05/15/23 04:02:21 PM,78.13,23.59
98,05/15/23 04:02:22 PM,79.80,23.77
99,05/15/23 04:02:23 PM,81.03,23.82
100,05/15/23 04:02:24 PM,81.10,23.83
101,05/15/23 04:02:25 PM,81.25,23.86
102,05/15/23 04:02:26 PM,81.25,23.86
103,05/15/23 04:02:27 PM,81.32,23.87
104,05/15/23 04:02:28 PM,81.24,23.88
105,05/15/23 04:02:29 PM,81.24,23.90
106,05/15/23 04:02:30 PM,81.02,23.92
107,05/15/23 04:02:31 PM,81.09,23.93
108,05/15/23 04:02:32 PM,81.17,23.93
109,05/15/23 04:02:33 PM,81.02,23.93
110,05/15/23 04:02:34 PM,80.58,23.96
111,05/15/23 04:02:35 PM,81.46,23.93
112,05/15/23 04:02:36 PM,81.32,23.91
113,05/15/23 04:02:37 PM,81.60,23.95
114,05/15/23 04:02:38 PM,81.24,23.95
115,05/15/23 04:02:39 PM,82.19,23.93
116,05/15/23 04:02:40 PM,82.19,23.91
117,05/15/23 04:02:41 PM,82.19,23.95
118,05/15/23 04:02:42 PM,82.48,23.96
119,05/15/23 04:02:43 PM,81.39,23.90
120,05/15/23 04:02:44 PM,81.68,23.92
121,05/15/23 04:02:45 PM,75.79,23.68
122,05/15/23 04:02:46 PM,77.17,23.81
123,05/15/23 04:02:47 PM,76.80,23.84
124,05/15/23 04:02:48 PM,72.80,23.79
125,05/15/23 04:02:49 PM,71.70,23.84
126,05/15/23 04:02:50 PM,72.21,23.87
127,05/15/23 04:02:51 PM,72.94,23.87
128,05/15/23 04:02:52 PM,73.23,23.90
129,05/15/23 04:02:53 PM,73.73,23.91
130,05/15/23 04:02:54 PM,182.65,17.29
131,05/15/23 04:02:55 PM,178.55,15.89
132,05/15/23 04:02:56 PM,177.66,15.39
133,05/15/23 04:02:57 PM,177.76,15.27
134,05/15/23 04:02:58 PM,177.97,15.34
135,05/15/23 04:02:59 PM,177.79,15.08
136,05/15/23 04:03:00 PM,177.42,15.04
137,05/15/23 04:03:01 PM,177.18,15.14
138,05/15/23 04:03:02 PM,177.04,14.69
139,05/15/23 04:03:03 PM,177.47,14.77
140,05/15/23 04:03:04 PM,177.19,14.68
141,05/15/23 04:03:05 PM,177.50,14.64
142,05/15/23 04:03:06 PM,177.35,14.60
143,05/15/23 04:03:07 PM,177.06,14.54
144,05/15/23 04:03:08 PM,177.22,14.54
145,05/15/23 04:03:09 PM,177.29,14.54
146,05/15/23 04:03:10 PM,177.23,14.49
147,05/15/23 04:03:11 PM,177.47,14.41
148,05/15/23 04:03:12 PM,177.38,14.46
149,05/15/23 04:03:13 PM,177.16,14.42
150,05/15/23 04:03:14 PM,177.16,14.41
151,05/15/23 04:03:15 PM,177.38,14.45
152,05/15/23 04:03:16 PM,177.09,14.39
153,05/15/23 04:03:17 PM,177.09,14.40
154,05/15/23 04:03:18 PM,177.17,14.40
155,05/15/23 04:03:19 PM,177.24,14.40
156,05/15/23 04:03:20 PM,177.25,14.37
157,05/15/23 04:03:21 PM,177.17,14.37
158,05/15/23 04:03:22 PM,177.25,14.37
159,05/15/23 04:03:23 PM,177.10,14.37
160,05/15/23 04:03:24 PM,177.10,14.35
161,05/15/23 04:03:25 PM,177.18,14.35
162,05/15/23 04:03:26 PM,177.02,14.35
163,05/15/23 04:03:27 PM,177.03,14.34
164,05/15/23 04:03:28 PM,177.02,14.37
165,05/15/23 04:03:29 PM,177.25,14.34
166,05/15/23 04:03:30 PM,177.18,14.35
167,05/15/23 04:03:31 PM,177.10,14.34
168,05/15/23 04:03:32 PM,177.10,14.34
169,05/15/23 04:03:33 PM,177.10,14.35
170,05/15/23 04:03:34 PM,177.02,14.35
171,05/15/23 04:03:35 PM,177.18,14.34
172,05/15/23 04:03:36 PM,177.03,14.30
173,05/15/23 04:03:37 PM,177.11,14.31
174,05/15/23 04:03:38 PM,177.03,14.32
175,05/15/23 04:03:39 PM,177.03,14.31
176,05/15/23 04:03:40 PM,177.03,14.31
177,05/15/23 04:03:41 PM,177.11,14.31
178,05/15/23 04:03:42 PM,177.03,14.30
179,05/15/23 04:03:43 PM,177.04,14.28
180,05/15/23 04:03:44 PM,177.11,14.32
181,05/15/23 04:03:45 PM,176.96,14.28
182,05/15/23 04:03:46 PM,176.96,14.31
183,05/15/23 04:03:47 PM,177.18,14.31
184,05/15/23 04:03:48 PM,176.96,14.30
